2015-3-10 9:55:39,,,,,,,,,,,,,,,,,,
Item,Test Item,Description,Units,LL,UL,VCC,VBAT,Vramp,Txen_Ven,gpctrl0_Vmode0,gpctrl1_Vmode_1,gpctrl2_Vmode_2,Pin,Pout,FreqIn,FreqOut,LossIn,LossOut,SocketOffset
1,Idle_L_Vbat_915,wcdma idle,mA,0,5,3.4,3.4,0,1.8,0,0,1.25,-99,-99,0,0,0,0,0
2,Idle_L_Vcc_915,wcdma,mA,0,100,3.4,3.4,0,1.8,0,0,1.25,-99,-99,0,0,0,0,0
3,Idle_L_Total_915,wcdma,mA,20,100,3.4,3.4,0,1.8,0,0,1.25,-99,-99,0,0,0,0,0
4,Pin_L_915,wcdma gain,dBm,-4,4,3.4,3.4,0,1.8,0,0,1.25,0,27,915,915,3.30424995,31.113,-0.6
5,Pout_L_915,wcdma,dBm,26.9,27.1,3.4,3.4,0,1.8,0,0,1.25,0,27,915,915,3.30424995,31.113,0
6,Gain_L_915,wcdma,dB,24,30,3.4,3.4,0,1.8,0,0,1.25,0,27,915,915,3.30424995,31.113,0.6
7,Icc_L_Vbat_915,wcdma,mA,0,10,3.4,3.4,0,1.8,0,0,1.25,0,27,915,915,3.30424995,31.113,0
8,Icc_L_Vcc_915,wcdma,mA,0,500,3.4,3.4,0,1.8,0,0,1.25,0,27,915,915,3.30424995,31.113,0
9,Icc_L_Total_915,wcdma,mA,100,500,3.4,3.4,0,1.8,0,0,1.25,0,27,915,915,3.30424995,31.113,0
10,PAE_L_Total_915,wcdma,%,30,50,3.4,3.4,0,1.8,0,0,1.25,0,27,915,915,3.30424995,31.113,0
11,ACP_L_L_915,wcdma acp,dBc,-99,-33,3.4,3.4,0,1.8,0,0,1.25,0,27,915,915,3.30424995,31.113,0
12,ACP_U_L_915,wcdma,dBc,-99,-33,3.4,3.4,0,1.8,0,0,1.25,0,27,915,915,3.30424995,31.113,0
13,ALT_L_L_915,wcdma,dBc,-99,-46,3.4,3.4,0,1.8,0,0,1.25,0,27,915,915,3.30424995,31.113,0
14,ALT_U_L_915,wcdma,dBc,-99,-46,3.4,3.4,0,1.8,0,0,1.25,0,27,915,915,3.30424995,31.113,0
15,EVM_L_915,wcdma evm,%,0,5,3.4,3.4,0,1.8,0,0,1.25,0,27,915,915,3.30424995,31.113,0

