2014-2-13 15:48:38,,,,,,,,,,,,,,,,,,
Item,Test Item,Description,Units,LL,UL,VCC,Vramp,Txen,gpctrl0,gpctrl1,gpctrl2,Pin,Pout,FreqIn,FreqOut,LossIn,LossOut,SocketOffset
1,GSM824 Idle Current,cw lb idle,mA,500,1200,3.5,1.8,1.25,0,0,1.25,-99,-99,0,0,0,0,0
2,GSM824 Max Pout@0dBm,cw lb pout,dBm,33,40,3.5,1.8,1.25,0,0,1.25,0,-99,824,824,3.235,30.8891485,0
3,GSM824 Max Pout@3dBm,cw lb powerpae,dBm,33,40,3.5,1.8,1.25,0,0,1.25,3,-99,824,824,3.235,30.8891485,0
4,GSM824 Max Icc,cw lb ,mA,0,3000,3.5,1.8,1.25,0,0,1.25,3,-99,824,824,3.235,30.8891485,0
5,GSM824 Max PAE,cw lb ,%,36,60,3.5,1.8,1.25,0,0,1.25,3,-99,824,824,3.235,30.8891485,0
6,GSM824 Rated Pout,cw lb servo,dBm,32.95,33.05,3.5,0,1.25,0,0,1.25,3,33,824,824,3.235,30.8891485,0
7,GSM824 Rated Vramp,cw lb ,V,1.2,1.8,3.5,0,1.25,0,0,1.25,3,33,824,824,3.235,30.8891485,0
8,GSM824 Rated Icc,cw lb,mA,0,3000,3.5,0,0,0,0,0,3,33,0,0,0,0,0
9,GSM824 Rated PAE,cw lb,%,36,60,3.5,0,0,0,0,0,3,33,0,0,0,0,0
10,GSM824 2nd Har@33dBm,cw lb harmonic,dBm,-99,-33,3.5,0,1.25,0,0,1.25,3,33,824,1648,3.235,31.276,0
11,GSM824 3nd Har@33dBm,cw lb harmonic,dBm,-99,-33,3.5,0,1.25,0,0,1.25,3,33,824,2472,3.235,31.522,0
12,GSM824 Cmos Pout,cw lb pout,dBm,5,21.5,3.5,0.45,1.25,0,0,1.25,3,-99,824,824,3.235,30.8891485,0
13,GSM824 Stress Delta,cw lb stress,dB,-0.25,0.25,4.2,1.8,1.25,0,0,1.25,3,-99,824,824,3.235,30.8891485,0
14,GSM880 Idle Current,cw lb idle,mA,500,1200,3.5,1.8,1.25,0,0,1.25,-99,-99,0,0,0,0,0
15,GSM880 Max Pout@0dBm,cw lb pout,dBm,33,40,3.5,1.8,1.25,0,0,1.25,0,-99,880,880,3.226,30.8828945,0
16,GSM880 Max Pout@3dBm,cw lb powerpae,dBm,33,40,3.5,1.8,1.25,0,0,1.25,3,-99,880,880,3.226,30.8828945,0
17,GSM880 Max Icc,cw lb ,mA,0,3000,3.5,1.8,1.25,0,0,1.25,3,-99,880,880,3.226,30.8828945,0
18,GSM880 Max PAE,cw lb ,%,36,60,3.5,1.8,1.25,0,0,1.25,3,-99,880,880,3.226,30.8828945,0
19,GSM880 Rated Pout,cw lb servo,dBm,32.95,33.05,3.5,0,1.25,0,0,1.25,3,33,880,880,3.226,30.8828945,0
20,GSM880 Rated Vramp,cw lb ,V,1.2,1.8,3.5,0,1.25,0,0,1.25,3,33,880,880,3.226,30.8828945,0
21,GSM880 Rated Icc,cw lb,mA,0,3000,3.5,0,0,0,0,0,3,33,0,0,0,0,0
22,GSM880 Rated PAE,cw lb,%,36,60,3.5,0,0,0,0,0,3,33,0,0,0,0,0
23,GSM880 2nd Har@33dBm,cw lb harmonic,dBm,-99,-33,3.5,0,1.25,0,0,1.25,3,33,880,1760,3.226,31.185,0
24,GSM880 3nd Har@33dBm,cw lb harmonic,dBm,-99,-33,3.5,0,1.25,0,0,1.25,3,33,880,2640,3.226,31.231,0
25,GSM880 Cmos Pout,cw lb pout,dBm,5,21.5,3.5,0.45,1.25,0,0,1.25,3,-99,880,880,3.226,30.8828945,0
