2015-6-9 14:18:44,,,,,,,,,,,,,,,,,,
Item,Test Item,Description,Units,LL,UL,VCC,VBAT,Vramp,Txen_Ven,gpctrl0_Vmode0,gpctrl1_Vmode_1,gpctrl2_Vmode_2,Pin,Pout,FreqIn,FreqOut,LossIn,LossOut,SocketOffset
1,Idle_H_Vbat_LB1,lte lb idle,mA,0,5,3.4,3.4,1.8,0,1.25,0,0,-99,-99,0,0,0,0,0
2,Idle_H_Vcc_LB1,lte lb,mA,0,200,3.4,3.4,1.8,0,1.25,0,0,-99,-99,0,0,0,0,0
3,Idle_H_Total_LB1,lte lb,mA,20,200,3.4,3.4,1.8,0,1.25,0,0,-99,-99,0,0,0,0,0
4,Pin_H_LB1_915,lte lb gain,dBm,-4,4,3.4,3.4,1.8,0,1.25,0,0,0,27.5,915,915,3.29294959,30.5,0
5,Pout_H_LB1_915,lte lb,dBm,27.4,27.6,3.4,3.4,1.8,0,1.25,0,0,0,27.5,915,915,3.29294959,30.5,1
6,Gain_H_LB1_915,lte lb,dB,24,30,3.4,3.4,1.8,0,1.25,0,0,0,27.5,915,915,3.29294959,30.5,0
7,Icc_H_Vbat_LB1_915,lte lb,mA,0,20,3.4,3.4,1.8,0,1.25,0,0,0,27.5,915,915,3.29294959,30.5,0
8,Icc_H_Vcc_LB1_915,lte lb,mA,80,750,3.4,3.4,1.8,0,1.25,0,0,0,27.5,915,915,3.29294959,30.5,0
9,Icc_H_Total_LB1_915,lte lb,mA,100,750,3.4,3.4,1.8,0,1.25,0,0,0,27.5,915,915,3.29294959,30.5,0
10,PAE_H_Total_LB1_915,lte lb,%,10,50,3.4,3.4,1.8,0,1.25,0,0,0,27.5,915,915,3.29294959,30.5,0
11,EUTRA_ACP_LB1_915,lte lb acp,dBc,-80,-29.2,3.4,3.4,1.8,0,1.25,0,0,0,27.5,915,915,3.29294959,30.5,0
12,UTRA_ACP_L_H_LB1_915,lte lb,dBc,-80,-32.2,3.4,3.4,1.8,0,1.25,0,0,0,27.5,915,915,3.29294959,30.5,0
13,UTRA_ALT_L_H_LB1_915,lte lb,dBc,-80,-39,3.4,3.4,1.8,0,1.25,0,0,0,27.5,915,915,3.29294959,30.5,0
14,EVM_H_LB1_915,lte lb evm,%,0,8,3.4,3.4,1.8,0,1.25,0,0,0,27.5,915,915,3.29294959,30.5,0

