2015-2-26 14:30:55,,,,,,,,,,,,,,,,,,
Item,Test Item,Description,Units,LL,UL,VCC,Vramp_Vbat,Txen_Ven,gpctrl0_Vmode0,gpctrl1_Vmode_1,gpctrl2_Vmode_2,Pin,Pout,FreqIn,FreqOut,LossIn,LossOut,SocketOffset
1,Idle_H_Vbat_B40,tdd lb idle,mA,0,5,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
2,Idle_H_Vcc_B40,tdd lb,mA,0,200,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
3,Idle_H_Total_B40,tdd lb,mA,20,200,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
4,Pin_H_B40_2300,tdd lb gain,dBm,-4,4,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.1436861,30.618,0
5,Pout_H_B40_2300,tdd lb,dBm,26.9,27.1,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.1436861,30.618,1
6,Gain_H_B40_2300,tdd lb,dB,24,30,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.1436861,30.618,0
7,Icc_H_Vbat_B40_2300,tdd lb,mA,0,20,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.1436861,30.618,0
8,Icc_H_Vcc_B40_2300,tdd lb,mA,80,750,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.1436861,30.618,0
9,Icc_H_Total_B40_2300,tdd lb,mA,100,750,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.1436861,30.618,0
10,PAE_H_Total_B40_2300,tdd lb,%,10,50,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.1436861,30.618,0
11,EUTRA_ACP_B40_2300,tdd lb acp,dBc,-80,-29.2,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.1436861,30.618,0
12,UTRA_ACP_L_H_B40_2300,tdd lb,dBc,-80,-32.2,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.1436861,30.618,0
13,UTRA_ALT_L_H_B40_2300,tdd lb,dBc,-80,-39,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.1436861,30.618,0
14,EVM_H_B40_2300,tdd lb evm,%,0,5,3.4,3.4,1.8,0,0,0,0,27,2300,2300,3.1436861,30.618,0
15,Pin_H_B40_2400,tdd lb gain,dBm,-4,4,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.44411477,30.762,0
16,Pout_H_B40_2400,tdd lb,dBm,26.9,27.1,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.44411477,30.762,0
17,Gain_H_B40_2400,tdd lb,dB,24,30,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.44411477,30.762,1
18,Icc_H_Vbat_B40_2400,tdd lb,mA,0,20,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.44411477,30.762,0
19,Icc_H_Vcc_B40_2400,tdd lb,mA,80,750,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.44411477,30.762,0
20,Icc_H_Total_B40_2400,tdd lb,mA,100,750,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.44411477,30.762,0
21,PAE_H_Total_B40_2400,tdd lb,%,10,50,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.44411477,30.762,0
22,EUTRA_ACP_B40_2400,tdd lb acp,dBc,-80,-29.2,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.44411477,30.762,0
23,UTRA_ACP_L_H_B40_2400,tdd lb,dBc,-80,-32.2,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.44411477,30.762,0
24,UTRA_ALT_L_H_B40_2400,tdd lb,dBc,-80,-39,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.44411477,30.762,0
25,EVM_H_B40_2400,tdd lb evm,%,0,5,3.4,3.4,1.8,0,0,0,0,27,2400,2400,3.44411477,30.762,0
26,Idle_H_Vbat_B38,tdd hb idle,mA,0,5,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
27,Idle_H_Vcc_B38,tdd hb,mA,0,200,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
28,Idle_H_Total_B38,tdd hb,mA,20,200,3.4,3.4,1.8,0,0,0,-99,-99,0,0,0,0,0
29,Pin_H_B38_2300,tdd hb gain,dBm,-4,4,3.4,3.4,1.8,0,0,0,0,26.5,2300,2300,3.1436861,30.618,0
30,Pout_H_B38_2300,tdd hb,dBm,26.9,27.1,3.4,3.4,1.8,0,0,0,0,26.5,2300,2300,3.1436861,30.618,1
31,Gain_H_B38_2300,tdd hb,dB,24,30,3.4,3.4,1.8,0,0,0,0,26.5,2300,2300,3.1436861,30.618,0
32,Icc_H_Vbat_B38_2300,tdd hb,mA,0,20,3.4,3.4,1.8,0,0,0,0,26.5,2300,2300,3.1436861,30.618,0
33,Icc_H_Vcc_B38_2300,tdd hb,mA,80,750,3.4,3.4,1.8,0,0,0,0,26.5,2300,2300,3.1436861,30.618,0
34,Icc_H_Total_B38_2300,tdd hb,mA,100,750,3.4,3.4,1.8,0,0,0,0,26.5,2300,2300,3.1436861,30.618,0
35,PAE_H_Total_B38_2300,tdd hb,%,10,50,3.4,3.4,1.8,0,0,0,0,26.5,2300,2300,3.1436861,30.618,0
36,EUTRA_ACP_B38_2300,tdd hb acp,dBc,-80,-29.2,3.4,3.4,1.8,0,0,0,0,26.5,2300,2300,3.1436861,30.618,0
37,UTRA_ACP_L_H_B38_2300,tdd hb,dBc,-80,-32.2,3.4,3.4,1.8,0,0,0,0,26.5,2300,2300,3.1436861,30.618,0
38,UTRA_ALT_L_H_B38_2300,tdd hb,dBc,-80,-39,3.4,3.4,1.8,0,0,0,0,26.5,2300,2300,3.1436861,30.618,0
39,EVM_H_B38_2300,tdd hb evm,%,0,5,3.4,3.4,1.8,0,0,0,0,26.5,2300,2300,3.1436861,30.618,0
40,Pin_H_B38_2620,tdd hb gain,dBm,-4,4,3.4,3.4,1.8,0,0,0,0,26.5,2620,2620,3.36001304,30.543,0
41,Pout_H_B38_2620,tdd hb,dBm,26.9,27.1,3.4,3.4,1.8,0,0,0,0,26.5,2620,2620,3.36001304,30.543,0
42,Gain_H_B38_2620,tdd hb,dB,24,30,3.4,3.4,1.8,0,0,0,0,26.5,2620,2620,3.36001304,30.543,1
43,Icc_H_Vbat_B38_2620,tdd hb,mA,0,20,3.4,3.4,1.8,0,0,0,0,26.5,2620,2620,3.36001304,30.543,0
44,Icc_H_Vcc_B38_2620,tdd hb,mA,80,750,3.4,3.4,1.8,0,0,0,0,26.5,2620,2620,3.36001304,30.543,0
