2015-6-5 16:31,,,,,,,,,,,,,,,,,,,
Item,Test Item,Description,Units,LL,UL,VCC,VBAT,Vramp,Txen_Ven,gpctrl0_Vmode0,gpctrl1_Vmode_1,gpctrl2_Vmode_2,Pin,Pout,FreqIn,FreqOut,LossIn,LossOut,SocketOffset
1,Idle_H_Vbat_B41,lte lb idle,mA,0,5,3.4,3.4,1.8,0,1.25,0,0,-99,-99,0,0,0,0,0
2,Idle_H_Vcc_B41,lte lb,mA,0,200,3.4,3.4,1.8,0,1.25,0,0,-99,-99,0,0,0,0,0
3,Idle_H_Total_B41,lte lb,mA,20,200,3.4,3.4,1.8,0,1.25,0,0,-99,-99,0,0,0,0,0
4,Pin_H_B41_2496,lte lb gain,dBm,-4,4,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2496,2496,3.55917902,31.229,0
5,Pout_H_B41_2496,lte lb,dBm,27.4,27.6,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2496,2496,3.55917902,31.229,1
6,Gain_H_B41_2496,lte lb,dB,24,30,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2496,2496,3.55917902,31.229,0
7,Icc_H_Vbat_B41_2496,lte lb,mA,0,20,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2496,2496,3.55917902,31.229,0
8,Icc_H_Vcc_B41_2496,lte lb,mA,80,750,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2496,2496,3.55917902,31.229,0
9,Icc_H_Total_B41_2496,lte lb,mA,100,750,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2496,2496,3.55917902,31.229,0
10,PAE_H_Total_B41_2496,lte lb,%,10,50,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2496,2496,3.55917902,31.229,0
11,EUTRA_ACP_B41_2496,lte lb acp,dBc,-80,-29.2,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2496,2496,3.55917902,31.229,0
12,UTRA_ACP_L_H_B41_2496,lte lb,dBc,-80,-32.2,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2496,2496,3.55917902,31.229,0
13,UTRA_ALT_L_H_B41_2496,lte lb,dBc,-80,-39,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2496,2496,3.55917902,31.229,0
14,EVM_H_B41_2496,lte lb evm,%,0,8,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2496,2496,3.55917902,31.229,0
15,Pin_H_B41_2690,lte lb gain,dBm,-4,4,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2690,2690,3.63544826,30.837,0
16,Pout_H_B41_2690,lte lb,dBm,27.4,27.6,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2690,2690,3.63544826,30.837,0
17,Gain_H_B41_2690,lte lb,dB,24,30,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2690,2690,3.63544826,30.837,1
18,Icc_H_Vbat_B41_2690,lte lb,mA,0,20,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2690,2690,3.63544826,30.837,0
19,Icc_H_Vcc_B41_2690,lte lb,mA,80,750,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2690,2690,3.63544826,30.837,0
20,Icc_H_Total_B41_2690,lte lb,mA,100,750,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2690,2690,3.63544826,30.837,0
21,PAE_H_Total_B41_2690,lte lb,%,10,50,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2690,2690,3.63544826,30.837,0
22,EUTRA_ACP_B41_2690,lte lb acp,dBc,-80,-29.2,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2690,2690,3.63544826,30.837,0
23,UTRA_ACP_L_H_B41_2690,lte lb,dBc,-80,-32.2,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2690,2690,3.63544826,30.837,0
24,UTRA_ALT_L_H_B41_2690,lte lb,dBc,-80,-39,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2690,2690,3.63544826,30.837,0
25,EVM_H_B41_2690,lte lb evm,%,0,8,3.4,3.4,1.8,0,1.25,0,0,0,27.5,2690,2690,3.63544826,30.837,0
